## "Objects"
pl "Obiekty"
en "Objects"
de "Objects"

## "Saving"
pl "Zapisywanie"
en "Saving"
de "Saving"

## "WindowMgr"
pl "Obs³uga okien"
en "WindowMgr"
de "WindowMgr"

## " %d seconds idle"
pl "bezczynnoœc trwa %1 sek."
en " %1 seconds idle"
de "seit %1 Sekunden frei"

## ""erfuellt""
pl ""wykonano""
en ""fulfilled""
de ""erfüllt""

## "(+%2d:%02d)"
pl "(+%1:%2)"
en "(+%1:%2)"
de "(+%1:%2)"

## "-1-:+-2-%in-3-(-4-)"
pl "-1-: +-2-% w -3- (-4-)"
en "-1-: +-2-% in -3- (-4-)"
de "-1-: +-2-% in -3- (-4-)"

## "-1-:+-2-in-3-(-4-)"
pl "-1-: +-2- w -3- (-4-)"
en "-1-: +-2- in -3- (-4-)"
de "-1-: +-2- in -3- (-4-)"

## "-1-:-2-%in-3-(-4-)"
pl "-1-: -2-% w -3- (-4-)"
en "-1-: -2-% in -3- (-4-)"
de "-1-: -2-% in -3- (-4-)"

## "Abbrechen"
pl "Anuluj"
en "Cancel"
de "Abbruch"

## "Abfluss"
pl "Odp³yw"
en "Drain"
de "Abfluss"

## "Age"
pl "Wiek"
en "Age"
de "Alter"

## "Alchemie"
pl "Alchemia"
en "Alchemy"
de "Alchemie"

## "AlchemiePos0"
pl "Historia energii"
en "The History of Energy"
de "Energien durch die Zeit"

## "AlchemiePos1"
pl "Wydajna elektrownia chomicza"
en "The Efficient Hamster Wheel"
de "Laufhamster-Futterquoten"

## "AlchemiePos2"
pl "Tajemnice przetapiania"
en "Fire and Ice"
de "Brennwertetabellen"

## "AlchemiePos3"
pl "Podziemne anomalie"
en "Underground Anomalies"
de "Anomalien unter der Erde"

## "AlchemiePos4"
pl "Magiczne dowody"
en "Magical Evidence"
de "Magische Beweise"

## "Alienpflanze"
pl "Fabryka obcych"
en "Alien plant"
de "Alienpflanze"

## "Amboss"
pl "Kowad³o"
en "Anvil"
de "Amboss"

## "Amulett_1"
pl "Amulet Brzydoty "
en "Amulett Issnichschick"
de "Amulett Issnichschick"

## "Amulett_2"
pl "Smocza £za "
en "Drachentränenamulett"
de "Drachentränenamulett"

## "Amulett_3"
pl "Amulet P³omieni"
en "Flammenamulett"
de "Flammenamulett"
